ay 	Aymara 	ltr 	Aymar 	en:Aymara language 	
gic 			Gail 	Individual 	Living
gid 			Gidar 	Individual 	Living
gie 			Gaɓogbo, Guébie 	Individual 	Living
gig 			Goaria 	Individual 	Living
gih 			Githabul 	Individual 	Living
gii 			Girirra 	Individual 	Living
gil 	gil 		Gilbertese 	Individual 	Living
gim 			Gimi (Eastern Highlands) 	Individual 	Living
gin 			Hinukh 	Individual 	Living
gip 			Gimi (West New Britain) 	Individual 	Living
giq 			Green Gelao 	Individual 	Living
gir 			Red Gelao 	Individual 	Living
gis 			North Giziga 	Individual 	Living
git 			Gitxsan 	Individual 	Living
giu 			Mulao 	Individual 	Living
giw 			White Gelao 	Individual 	Living
gix 			Gilima 	Individual 	Living
giy 			Giyug 	Individual 	Living
giz 			South Giziga 	Individual 	Living
gjk 			Kachi Koli 	Individual 	Living
gjm 			Gunditjmara 	Individual 	Extinct
gjn 			Gonja 	Individual 	Living
gjr 			Gurindji Kriol 	Individual 	Living
gju 			Gujari 	Individual 	Living
gka 			Guya 	Individual 	Living
gkd 			Magɨ (Madang Province) 	Individual 	Living
gke 			Ndai 	Individual 	Living
gkn 			Gokana 	Individual 	Living
gko 			Kok-Nar 	Individual 	Extinct
gkp 			Guinea Kpelle 	Individual 	Living
gku 			ǂUngkue 	Individual 	Extinct
gla 	gla 	gd 	Gaelic, Scottish Gaelic 	Individual 	Living
glb 			Belning 	Individual 	Living
glc 			Bon Gula 	Individual 	Living
gld 			Nanai 	Individual 	Living
gle 	gle 	ga 	Irish 	Individual 	Living
glg 	glg 	gl 	Galician 	Individual 	Living
glh 			Northwest Pashai, Northwest Pashayi 	Individual 	Living
glj 			Gula Iro 	Individual 	Living
glk 			Gilaki 	Individual 	Living
gll 			Garlali 	Individual 	Extinct
glo 			Galambu 	Individual 	Living
glr 			Glaro-Twabo 	Individual 	Living
glu 			Gula (Chad) 	Individual 	Living
glv 	glv 	gv 	Manx 	Individual 	Living
glw 			Glavda 	Individual 	Living
gly 			Gule 	Individual 	Extinct
gma 			Gambera 	Individual 	Extinct
gmb 			Gula'alaa 	Individual 	Living
gmd 			Mághdì 	Individual 	Living
	gme 		East Germanic languages 	Collective 	Genetic
gmg 			Magɨyi 	Individual 	Living
gmh 	gmh 		Middle High German (ca. 1050-1500) 	Individual 	Historical
gml 			Middle Low German 	Individual 	Historical
gmm 			Gbaya-Mbodomo 	Individual 	Living
gmn 			Gimnime 	Individual 	Living
	gmq 		North Germanic languages 	Collective 	Genetic
gmr 			Mirning, Mirniny 	Individual 	Living
gmu 			Gumalu 	Individual 	Living
gmv 			Gamo 	Individual 	Living
	gmw 		West Germanic languages 	Collective 	Genetic
gmx 			Magoma 	Individual 	Living
gmy 			Mycenaean Greek 	Individual 	Ancient
gmz 			Mgbolizhia 	Individual 	Living
gna 			Kaansa 	Individual 	Living
gnb 			Gangte 	Individual 	Living
gnc 			Guanche 	Individual 	Extinct
gnd 			Zulgo-Gemzek 	Individual 	Living
gne 			Ganang 	Individual 	Living
gng 			Ngangam 	Individual 	Living
gnh 			Lere 	Individual 	Living
gni 			Gooniyandi 	Individual 	Living
gnj 			Ngen 	Individual 	Living
gnk 			//Gana, ||Gana, ǁGana 	Individual 	Living
gnl 			Gangulu 	Individual 	Extinct
gnm 			Ginuman 	Individual 	Living
gnn 			Gumatj 	Individual 	Living
gno 			Northern Gondi 	Individual 	Living
gnq 			Gana 	Individual 	Living
gnr 			Gureng Gureng 	Individual 	Extinct
gnt 			Guntai 	Individual 	Living
gnu 			Gnau 	Individual 	Living
gnw 			Western Bolivian Guaraní 	Individual 	Living
gnz 			Ganzi 	Individual 	Living
goa 			Guro 	Individual 	Living
gob 			Playero 	Individual 	Living
goc 			Gorakor 	Individual 	Living
god 			Godié 	Individual 	Living
goe 			Gongduk 	Individual 	Living
gof 			Gofa 	Individual 	Living
gog 			Gogo 	Individual 	Living
goh 	goh 		Old High German (ca. 750-1050) 	Individual 	Historical
goi 			Gobasi 	Individual 	Living
goj 			Gowlan 	Individual 	Living
gok 			Gowli 	Individual 	Living
gol 			Gola 	Individual 	Living
gom 			Goan Konkani 	Individual 	Living
gon 	gon 		Gondi 	Macrolanguage 	Living
goo 			Gone Dau 	Individual 	Living
gop 			Yeretuar 	Individual 	Living
goq 			Gorap 	Individual 	Living
gor 	gor 		Gorontalo 	Individual 	Living
gos 			Gronings 	Individual 	Living
got 	got 		Gothic 	Individual 	Ancient
gou 			Gavar 	Individual 	Living
gow 			Gorowa 	Individual 	Living
gox 			Gobu 	Individual 	Living
goy 			Goundo 	Individual 	Living
goz 			Gozarkhani 	Individual 	Living
gpa 			Gupa-Abawa 	Individual 	Living
gpn 			Taiap 	Individual 	Living
gqa 			Ga'anda 	Individual 	Living
gqi 			Guiqiong 	Individual 	Living
gqn 			Guana (Brazil) 	Individual 	Extinct
gqr 			Gor 	Individual 	Living
gqu 			Qau 	Individual 	Living
gra 			Rajput Garasia 	Individual 	Living
grb 	grb 		Grebo 	Macrolanguage 	Living
grc 	grc 		Ancient Greek (to 1453) 	Individual 	Historical
grd 			Guruntum-Mbaaru 	Individual 	Living
ell 	639-2/T: ell
639-2/B: gre 	el 	Modern Greek (1453-) 	Individual 	Living
grg 			Madi 	Individual 	Living
grh 			Gbiri-Niragu 	Individual 	Living
gri 			Ghari 	Individual 	Living
grj 			Southern Grebo 	Individual 	Living
	grk 		Greek languages 	Collective 	Genetic
grm 			Kota Marudu Talantang 	Individual 	Living
grn 	grn 	gn 	Guarani 	Macrolanguage 	Living
gro 			Groma 	Individual 	Living
grq 			Gorovu 	Individual 	Living
grr 			Taznatit 	Individual 	Living
grs 			Gresi 	Individual 	Living
grt 			Garo 	Individual 	Living
gru 			Kistane 	Individual 	Living
grv 			Central Grebo 	Individual 	Living
grw 			Gweda 	Individual 	Living
grx 			Guriaso 	Individual 	Living
gry 			Barclayville Grebo 	Individual 	Living
grz 			Guramalum 	Individual 	Living
gse 			Ghanaian Sign Language 	Individual 	Living
gsg 			German Sign Language 	Individual 	Living
gsl 			Gusilay 	Individual 	Living
gsm 			Guatemalan Sign Language 	Individual 	Living
gsn 			Gusan, Nema 	Individual 	Living
gso 			Southwest Gbaya 	Individual 	Living
gsp 			Wasembo 	Individual 	Living
gss 			Greek Sign Language 	Individual 	Living
gsw 	gsw 		Alemannic, Alsatian, Swiss German 	Individual 	Living
gta 			Guató 	Individual 	Living
gtu 			Aghu-Tharnggala 	Individual 	Extinct
gua 			Shiki 	Individual 	Living
gub 			Guajajára 	Individual 	Living
guc 			Wayuu 	Individual 	Living
gud 			Yocoboué Dida 	Individual 	Living
gue 			Gurindji, Gurinji 	Individual 	Living
guf 			Gupapuyngu 	Individual 	Living
gug 			Paraguayan Guaraní 	Individual 	Living
guh 			Guahibo 	Individual 	Living
gui 			Eastern Bolivian Guaraní 	Individual 	Living
guj 	guj 	gu 	Gujarati 	Individual 	Living
guk 			Gumuz 	Individual 	Living
gum 			Guambiano 	Individual 	Living
gun 			Mbyá Guaraní 	Individual 	Living
guo 			Guayabero 	Individual 	Living
gup 			Gunwinggu 	Individual 	Living
guq 			Aché 	Individual 	Living
gur 			Farefare 	Individual 	Living
gus 			Guinean Sign Language 	Individual 	Living
gut 			Maléku Jaíka 	Individual 	Living
guu 			Yanomamö 	Individual 	Living
guw 			Gun 	Individual 	Living
gux 			Gourmanchéma 	Individual 	Living
guz 			Ekegusii, Gusii 	Individual 	Living
gva 			Guana (Paraguay) 	Individual 	Living
gvc 			Guanano 	Individual 	Living
gve 			Duwet 	Individual 	Living
gvf 			Golin 	Individual 	Living
gvj 			Guajá 	Individual 	Living
gvl 			Gulay 	Individual 	Living
gvm 			Gurmana 	Individual 	Living
gvn 			Kuku-Yalanji 	Individual 	Living
gvo 			Gavião Do Jiparaná 	Individual 	Living
gvp 			Pará Gavião 	Individual 	Living
gvr 			Gurung 	Individual 	Living
gvs 			Gumawana 	Individual 	Living
gvy 			Guyani 	Individual 	Extinct
gwa 			Mbato 	Individual 	Living
gwb 			Gwa 	Individual 	Living
gwc 			Gawri, Kalami 	Individual 	Living
gwd 			Gawwada 	Individual 	Living
gwe 			Gweno 	Individual 	Living
gwf 			Gowro 	Individual 	Living
gwg 			Moo 	Individual 	Living
gwi 	gwi 		Gwichʼin 	Individual 	Living
gwj 			/Gwi, |Gwi, ǀGwi 	Individual 	Living
gwm 			Awngthim 	Individual 	Extinct
gwn 			Gwandara 	Individual 	Living
gwr 			Gwere 	Individual 	Living
gwt 			Gawar-Bati 	Individual 	Living
gwu 			Guwamu 	Individual 	Extinct
gww 			Kwini 	Individual 	Living
gwx 			Gua 	Individual 	Living
gxx 			Wè Southern 	Individual 	Living
gya 			Northwest Gbaya 	Individual 	Living
gyb 			Garus 	Individual 	Living
gyd 			Kayardild 	Individual 	Living
gye 			Gyem 	Individual 	Living
gyf 			Gungabula 	Individual 	Extinct
gyg 			Gbayi 	Individual 	Living
gyi 			Gyele 	Individual 	Living
gyl 			Gayil 	Individual 	Living
gyo 			Gyalsumdo 	Individual 	Living
gyr 			Guarayu 	Individual 	Living
gyy 			Gunya 	Individual 	Extinct
gyz 			Geji, Gyaazi 	Individual 	Living
gza 			Ganza 	Individual 	Living
gzi 			Gazi 	Individual 	Living
gzn 			Gane 	Individual 	Living 
haa 			Han 	Individual 	Living
hab 			Hanoi Sign Language 	Individual 	Living
hac 			Gurani 	Individual 	Living
had 			Hatam 	Individual 	Living
hae 			Eastern Oromo 	Individual 	Living
haf 			Haiphong Sign Language 	Individual 	Living
hag 			Hanga 	Individual 	Living
hah 			Hahon 	Individual 	Living
hai 	hai 		Haida 	Macrolanguage 	Living
haj 			Hajong 	Individual 	Living
hak 			Hakka Chinese 	Individual 	Living
hal 			Halang 	Individual 	Living
ham 			Hewa 	Individual 	Living
han 			Hangaza 	Individual 	Living
hao 			Hakö 	Individual 	Living
hap 			Hupla 	Individual 	Living
haq 			Ha 	Individual 	Living
har 			Harari 	Individual 	Living
has 			Haisla 	Individual 	Living
hat 	hat 	ht 	Haitian, Haitian Creole 	Individual 	Living
hau 	hau 	ha 	Hausa 	Individual 	Living
hav 			Havu 	Individual 	Living
haw 	haw 		Hawaiian 	Individual 	Living
hax 			Southern Haida 	Individual 	Living
hay 			Haya 	Individual 	Living
haz 			Hazaragi 	Individual 	Living
hba 			Hamba 	Individual 	Living
hbb 			Huba 	Individual 	Living
hbn 			Heiban 	Individual 	Living
hbo 			Ancient Hebrew 	Individual 	Historical
hbs 		sh (deprecated) 	Serbo-Croatian 	Macrolanguage 	Living
hbu 			Habu 	Individual 	Living
hca 			Andaman Creole Hindi 	Individual 	Living
hch 			Huichol 	Individual 	Living
hdn 			Northern Haida 	Individual 	Living
hds 			Honduras Sign Language 	Individual 	Living
hdy 			Hadiyya 	Individual 	Living
hea 			Northern Qiandong Miao 	Individual 	Living
heb 	heb 	he 	Hebrew 	Individual 	Living
hed 			Herdé 	Individual 	Living
heg 			Helong 	Individual 	Living
heh 			Hehe 	Individual 	Living
hei 			Heiltsuk 	Individual 	Living
hem 			Hemba 	Individual 	Living
her 	her 	hz 	Herero 	Individual 	Living
hgm 			Hai//om, Hai||om, Haiǁom 	Individual 	Living
hgw 			Haigwai 	Individual 	Living
hhi 			Hoia Hoia 	Individual 	Living
hhr 			Kerak 	Individual 	Living
hhy 			Hoyahoya 	Individual 	Living
hia 			Lamang 	Individual 	Living
hib 			Hibito 	Individual 	Extinct
hid 			Hidatsa 	Individual 	Living
hif 			Fiji Hindi 	Individual 	Living
hig 			Kamwe 	Individual 	Living
hih 			Pamosu 	Individual 	Living
hii 			Hinduri 	Individual 	Living
hij 			Hijuk 	Individual 	Living
hik 			Seit-Kaitetu 	Individual 	Living
hil 	hil 		Hiligaynon 	Individual 	Living
	him 		Himachali languages, Western Pahari languages 	Collective 	Genetic
hin 	hin 	hi 	Hindi 	Individual 	Living
hio 			Tsoa 	Individual 	Living
hir 			Himarimã 	Individual 	Living
hit 	hit 		Hittite 	Individual 	Ancient
hiw 			Hiw 	Individual 	Living
hix 			Hixkaryána 	Individual 	Living
hji 			Haji 	Individual 	Living
hka 			Kahe 	Individual 	Living
hke 			Hunde 	Individual 	Living
hkh 			Khah, Poguli 	Individual 	Living
hkk 			Hunjara-Kaina Ke 	Individual 	Living
hkn 			Mel-Khaonh 	Individual 	Living
hks 			Heung Kong Sau Yue, Hong Kong Sign Language 	Individual 	Living
hla 			Halia 	Individual 	Living
hlb 			Halbi 	Individual 	Living
hld 			Halang Doan 	Individual 	Living
hle 			Hlersu 	Individual 	Living
hlt 			Matu Chin 	Individual 	Living
hlu 			Hieroglyphic Luwian 	Individual 	Ancient
hma 			Southern Mashan Hmong, Southern Mashan Miao 	Individual 	Living
hmb 			Humburi Senni Songhay 	Individual 	Living
hmc 			Central Huishui Hmong, Central Huishui Miao 	Individual 	Living
hmd 			A-hmaos, Da-Hua Miao, Large Flowery Miao 	Individual 	Living
hme 			Eastern Huishui Hmong, Eastern Huishui Miao 	Individual 	Living
hmf 			Hmong Don 	Individual 	Living
hmg 			Southwestern Guiyang Hmong 	Individual 	Living
hmh 			Southwestern Huishui Hmong, Southwestern Huishui Miao 	Individual 	Living
hmi 			Northern Huishui Hmong, Northern Huishui Miao 	Individual 	Living
hmj 			Ge, Gejia 	Individual 	Living
hmk 			Maek 	Individual 	Ancient
hml 			Luopohe Hmong, Luopohe Miao 	Individual 	Living
hmm 			Central Mashan Hmong, Central Mashan Miao 	Individual 	Living
hmn 	hmn 		Hmong, Mong 	Macrolanguage 	Living
hmo 	hmo 	ho 	Hiri Motu 	Individual 	Living
hmp 			Northern Mashan Hmong, Northern Mashan Miao 	Individual 	Living
hmq 			Eastern Qiandong Miao 	Individual 	Living
hmr 			Hmar 	Individual 	Living
hms 			Southern Qiandong Miao 	Individual 	Living
hmt 			Hamtai 	Individual 	Living
hmu 			Hamap 	Individual 	Living
hmv 			Hmong Dô 	Individual 	Living
hmw 			Western Mashan Hmong, Western Mashan Miao 	Individual 	Living
hmx 		Hmong-Mien languages 	Collective 	Genetic
hmy 			Southern Guiyang Hmong, Southern Guiyang Miao 	Individual 	Living
hmz 			Hmong Shua, Sinicized Miao 	Individual 	Living
hna 			Mina (Cameroon) 	Individual 	Living
hnd 			Southern Hindko 	Individual 	Living
hne 			Chhattisgarhi 	Individual 	Living
hng 			Hungu 	Individual 	Living
hnh 			//Ani, ||Ani, ǁAni 	Individual 	Living
hni 			Hani 	Individual 	Living
hnj 			Hmong Njua, Mong Leng, Mong Njua 	Individual 	Living
hnn 			Hanunoo 	Individual 	Living
hno 			Northern Hindko 	Individual 	Living
hns 			Caribbean Hindustani 	Individual 	Living
hnu 			Hung 	Individual 	Living
hoa 			Hoava 	Individual 	Living
hob 			Mari (Madang Province) 	Individual 	Living
hoc 			Ho 	Individual 	Living
hod 			Holma 	Individual 	Extinct
hoe 			Horom 	Individual 	Living
hoh 			Hobyót 	Individual 	Living 
hoi 			Holikachuk 	Individual 	Living
hoj 			Hadothi, Haroti 	Individual 	Living
	hok 		Hokan languages 	Collective 	Genetic
hol 			Holu 	Individual 	Living
hom 			Homa 	Individual 	Extinct
hoo 			Holoholo 	Individual 	Living
hop 			Hopi 	Individual 	Living
hor 			Horo 	Individual 	Extinct
hos 			Ho Chi Minh City Sign Language 	Individual 	Living
hot 			Hote, Malê 	Individual 	Living
hov 			Hovongan 	Individual 	Living
how 			Honi 	Individual 	Living
hoy 			Holiya 	Individual 	Living
hoz 			Hozo 	Individual 	Living
hpo 			Hpon 	Individual 	Extinct
hps 			Hawai'i Pidgin Sign Language, Hawai'i Sign Language (HSL) 	Individual 	Living
hra 			Hrangkhol 	Individual 	Living
hrc 			Niwer Mil 	Individual 	Living
hre 			Hre 	Individual 	Living
hrk 			Haruku 	Individual 	Living
hrm 			Horned Miao 	Individual 	Living
hro 			Haroi 	Individual 	Living
hrp 			Nhirrpi 	Individual 	Extinct
hrt 			Hértevin 	Individual 	Living
hru 			Hruso 	Individual 	Living
hrv 	hrv 	hr 	Croatian 	Individual 	Living
hrw 			Warwar Feni 	Individual 	Living
hrx 			Hunsrik 	Individual 	Living
hrz 			Harzani 	Individual 	Living
hsb 	hsb 		Upper Sorbian 	Individual 	Living
hsh 			Hungarian Sign Language 	Individual 	Living
hsl 			Hausa Sign Language 	Individual 	Living
hsn 			Xiang Chinese 	Individual 	Living
hss 			Harsusi 	Individual 	Living
hti 			Hoti 	Individual 	Extinct
hto 			Minica Huitoto 	Individual 	Living
hts 			Hadza 	Individual 	Living
htu 			Hitu 	Individual 	Living
htx 			Middle Hittite 	Individual 	Ancient
hub 			Huambisa 	Individual 	Living
huc 			=/Hua, ǂ'Amkhoe, ǂHua, ‡Hua 	Individual 	Living
hud 			Huaulu 	Individual 	Living
hue 			San Francisco Del Mar Huave 	Individual 	Living
huf 			Humene 	Individual 	Living
hug 			Huachipaeri 	Individual 	Living
huh 			Huilliche 	Individual 	Living
hui 			Huli 	Individual 	Living
huj 			Northern Guiyang Hmong, Northern Guiyang Miao 	Individual 	Living
huk 			Hulung 	Individual 	Extinct
hul 			Hula 	Individual 	Living
hum 			Hungana 	Individual 	Living
hun 	hun 	hu 	Hungarian 	Individual 	Living
huo 			Hu 	Individual 	Living
hup 	hup 		Hupa 	Individual 	Living
huq 			Tsat 	Individual 	Living
hur 			Halkomelem 	Individual 	Living
hus 			Huastec 	Individual 	Living
hut 			Humla 	Individual 	Living
huu 			Murui Huitoto 	Individual 	Living
huv 			San Mateo Del Mar Huave 	Individual 	Living
huw 			Hukumina 	Individual 	Extinct
hux 			Nüpode Huitoto 	Individual 	Living
huy 			Hulaulá 	Individual 	Living
huz 			Hunzib 	Individual 	Living
hvc 			Haitian Vodoun Culture Language 	Individual 	Living
hve 			San Dionisio Del Mar Huave 	Individual 	Living
hvk 			Haveke 	Individual 	Living
hvn 			Sabu 	Individual 	Living
hvv 			Santa María Del Mar Huave 	Individual 	Living
hwa 			Wané 	Individual 	Living
hwo 			Hwana 	Individual 	Living
hya 			Hya 	Individual 	Living
hye 	639-2/T: hye
639-2/B: arm 	hy 	Armenian 	Individual 	Living
hyw 			Western Armenian 	Individual 	Living
hyx 		Armenian (family) 	Collective 	Genetic 
iai 			Iaai 	Individual 	Living
ian 			Iatmul 	Individual 	Living
iar 			Purari 	Individual 	Living
iba 	iba 		Iban 	Individual 	Living
ibb 			Ibibio 	Individual 	Living
ibd 			Iwaidja 	Individual 	Living
ibe 			Akpes 	Individual 	Living
ibg 			Ibanag 	Individual 	Living
ibh 			Bih 	Individual 	Living
ibl 			Ibaloi 	Individual 	Living
ibm 			Agoi 	Individual 	Living
ibn 			Ibino 	Individual 	Living
ibo 	ibo 	ig 	Igbo 	Individual 	Living
ibr 			Ibuoro 	Individual 	Living
ibu 			Ibu 	Individual 	Living
iby 			Ibani 	Individual 	Living
ica 			Ede Ica 	Individual 	Living
isl 	639-2/T: isl
639-2/B: ice 	is 	Icelandic 	Individual 	Living
ich 			Etkywan 	Individual 	Living
icl 			Icelandic Sign Language 	Individual 	Living
ida 			Idakho-Isukha-Tiriki, Luidakho-Luisukha-Lutirichi 	Individual 	Living
idb 			Indo-Portuguese 	Individual 	Living
idc 			Ajiya, Idon 	Individual 	Living
idd 			Ede Idaca 	Individual 	Living
ide 			Idere 	Individual 	Living
idi 			Idi 	Individual 	Living
ido 	ido 	io 	Ido 	Individual 	Constructed
idr 			Indri 	Individual 	Living
ids 			Idesa 	Individual 	Living
idt 			Idaté 	Individual 	Living
idu 			Idoma 	Individual 	Living
ifa 			Amganad Ifugao 	Individual 	Living
ifb 			Ayangan Ifugao, Batad Ifugao 	Individual 	Living
ife 			Ifè 	Individual 	Living
iff 			Ifo 	Individual 	Extinct
ifk 			Tuwali Ifugao 	Individual 	Living
ifm 			Teke-Fuumu 	Individual 	Living
ifu 			Mayoyao Ifugao 	Individual 	Living
ify 			Keley-I Kallahan 	Individual 	Living
igb 			Ebira 	Individual 	Living
ige 			Igede 	Individual 	Living
igg 			Igana 	Individual 	Living
igl 			Igala 	Individual 	Living
igm 			Kanggape 	Individual 	Living
ign 			Ignaciano 	Individual 	Living
igo 			Isebe 	Individual 	Living
igs 			Interglossa 	Individual 	Constructed
igw 			Igwe 	Individual 	Living
ihb 			Iha Based Pidgin 	Individual 	Living
ihi 			Ihievbe 	Individual 	Living
ihp 			Iha 	Individual 	Living
ihw 			Bidhawal 	Individual 	Extinct
iii 	iii 	ii 	Nuosu, Sichuan Yi 	Individual 	Living
iin 			Thiin 	Individual 	Extinct
	iir 		Indo-Iranian languages 	Collective 	Genetic
ijc 			Izon 	Individual 	Living
ije 			Biseni 	Individual 	Living
ijj 			Ede Ije 	Individual 	Living
ijn 			Kalabari 	Individual 	Living
	ijo 		Ijo languages 	Collective 	Genetic
ijs 			Southeast Ijo 	Individual 	Living
ike 			Eastern Canadian Inuktitut 	Individual 	Living
iki 			Iko 	Individual 	Living
ikk 			Ika 	Individual 	Living
ikl 			Ikulu 	Individual 	Living
iko 			Olulumo-Ikom 	Individual 	Living
ikp 			Ikpeshi 	Individual 	Living
ikr 			Ikaranggal 	Individual 	Extinct
iks 			Inuit Sign Language 	Individual 	Living
ikt 			Inuinnaqtun, Western Canadian Inuktitut 	Individual 	Living
iku 	iku 	iu 	Inuktitut 	Macrolanguage 	Living
ikv 			Iku-Gora-Ankwa 	Individual 	Living
ikw 			Ikwere 	Individual 	Living
ikx 			Ik 	Individual 	Living
ikz 			Ikizu 	Individual 	Living
ila 			Ile Ape 	Individual 	Living
ilb 			Ila 	Individual 	Living
ile 	ile 	ie 	Interlingue, Occidental 	Individual 	Constructed
ilg 			Garig-Ilgar 	Individual 	Extinct
ili 			Ili Turki 	Individual 	Living
ilk 			Ilongot 	Individual 	Living
ilm 			Iranun (Malaysia) 	Individual 	Living
ilo 	ilo 		Iloko 	Individual 	Living
ilp 			Iranun (Philippines) 	Individual 	Living
ils 			International Sign 	Individual 	Living
ilu 			Ili'uun 	Individual 	Living
ilv 			Ilue 	Individual 	Living
ima 			Mala Malasar 	Individual 	Living
imi 			Anamgura 	Individual 	Living
iml 			Miluk 	Individual 	Extinct
imn 			Imonda 	Individual 	Living
imo 			Imbongu 	Individual 	Living
imr 			Imroing 	Individual 	Living
ims 			Marsian 	Individual 	Ancient
imy 			Milyan 	Individual 	Ancient
ina 	ina 	ia 	Interlingua (International Auxiliary Language Association) 	Individual 	Constructed
inb 			Inga 	Individual 	Living
	inc 		Indic languages 	Collective 	Genetic
ind 	ind 	id 	Indonesian 	Individual 	Living
	ine 		Indo-European languages 	Collective 	Genetic
ing 			Degexit'an 	Individual 	Living
inh 	inh 		Ingush 	Individual 	Living
inj 			Jungle Inga 	Individual 	Living
inl 			Indonesian Sign Language 	Individual 	Living
inm 			Minaean 	Individual 	Ancient
inn 			Isinai 	Individual 	Living
ino 			Inoke-Yate 	Individual 	Living
inp 			Iñapari 	Individual 	Living
ins 			Indian Sign Language 	Individual 	Living
int 			Intha 	Individual 	Living
inz 			Ineseño 	Individual 	Extinct
ior 			Inor 	Individual 	Living
iou 			Tuma-Irumu 	Individual 	Living
iow 			Iowa-Oto 	Individual 	Extinct
ipi 			Ipili 	Individual 	Living
ipk 	ipk 	ik 	Inupiaq 	Macrolanguage 	Living
ipo 			Ipiko 	Individual 	Living
iqu 			Iquito 	Individual 	Living
iqw 			Ikwo 	Individual 	Living
	ira 		Iranian languages 	Collective 	Genetic
ire 			Iresim 	Individual 	Living
irh 			Irarutu 	Individual 	Living
iri 			Irigwe, Rigwe 	Individual 	Living
irk 			Iraqw 	Individual 	Living
irn 			Irántxe 	Individual 	Living
	iro 		Iroquoian languages 	Collective 	Genetic
irr 			Ir 	Individual 	Living
iru 			Irula 	Individual 	Living
irx 			Kamberau 	Individual 	Living
iry 			Iraya 	Individual 	Living
isa 			Isabi 	Individual 	Living
isc 			Isconahua 	Individual 	Living
isd 			Isnag 	Individual 	Living
ise 			Italian Sign Language 	Individual 	Living
isg 			Irish Sign Language 	Individual 	Living
ish 			Esan 	Individual 	Living
isi 			Nkem-Nkum 	Individual 	Living
isk 			Ishkashimi 	Individual 	Living
isl 	639-2/T: isl
639-2/B: ice 	is 	Icelandic 	Individual 	Living
ism 			Masimasi 	Individual 	Living
isn 			Isanzu 	Individual 	Living
iso 			Isoko 	Individual 	Living
isr 			Israeli Sign Language 	Individual 	Living
ist 			Istriot 	Individual 	Living
isu 			Isu (Menchum Division) 	Individual 	Living
ita 	ita 	it 	Italian 	Individual 	Living
itb 			Binongan Itneg 	Individual Living
itc 		Italic languages 	Collective 	Genetic
itd 			Southern Tidung 	Individual 	Living
ite 			Itene 	Individual 	Extinct
iti 			Inlaod Itneg 	Individual 	Living
itk 			Judeo-Italian 	Individual 	Living
itl 			Itelmen 	Individual 	Living
itm 			Itu Mbon Uzo 	Individual 	Living
ito 			Itonama 	Individual 	Living
itr 			Iteri 	Individual 	Living
its 			Isekiri 	Individual 	Living
itt 			Maeng Itneg 	Individual 	Living
itv 			Itawit 	Individual 	Living
itw 			Ito 	Individual 	Living
itx 			Itik 	Individual 	Living
ity 			Moyadan Itneg 	Individual 	Living
itz 			Itzá 	Individual 	Living
ium 			Iu Mien 	Individual 	Living
ivb 			Ibatan 	Individual 	Living
ivv 			Ivatan 	Individual 	Living
iwk 			I-Wak 	Individual 	Living
iwm 			Iwam 	Individual 	Living
iwo 			Iwur 	Individual 	Living
iws 			Sepik Iwam 	Individual 	Living
ixc 			Ixcatec 	Individual 	Living
ixl 			Ixil 	Individual 	Living
iya 			Iyayu 	Individual 	Living
iyo 			Mesaka 	Individual 	Living
iyx 			Yaka (Congo) 	Individual 	Living
izh 			Ingrian 	Individual 	Living
izr 			Izere 	Individual 	Living
izz 			Izii 	Individual 	Living 
jaa 			Jamamadí 	Individual 	Living
jab 			Hyam 	Individual 	Living
jac 			Jakalteko, Popti' 	Individual 	Living
jad 			Jahanka 	Individual 	Living
jae 			Yabem 	Individual 	Living
jaf 			Jara 	Individual 	Living
jah 			Jah Hut 	Individual 	Living
jaj 			Zazao 	Individual 	Living
jak 			Jakun 	Individual 	Living
jal 			Yalahatan 	Individual 	Living
jan 			Jandai 	Individual 	Extinct
jao 			Yanyuwa 	Individual 	Living
jaq 			Yaqay 	Individual 	Living
jas 			New Caledonian Javanese 	Individual 	Living
jat 			Jakati 	Individual 	Living
jau 			Yaur 	Individual 	Living
jav 	jav 	jv 	Javanese 	Individual 	Living
jax 			Jambi Malay 	Individual 	Living
jay 			Nhangu, Yan-nhangu 	Individual 	Living
jaz 			Jawe 	Individual 	Living
jbe 			Judeo-Berber 	Individual 	Living
jbi 			Badjiri 	Individual 	Extinct
jbj 			Arandai 	Individual 	Living
jbk 			Barikewa 	Individual 	Living
jbm 			Bijim 	Individual 	Living
jbn 			Nafusi 	Individual 	Living
jbo 	jbo 		Lojban 	Individual 	Constructed
jbr 			Jofotek-Bromnya 	Individual 	Living
jbt 			Jabutí 	Individual 	Living
jbu 			Jukun Takum 	Individual 	Living
jbw 			Yawijibaya 	Individual 	Extinct
jcs 			Jamaican Country Sign Language 	Individual 	Living
jct 			Krymchak 	Individual 	Living
jda 			Jad 	Individual 	Living
jdg 			Jadgali 	Individual 	Living
jdt 			Judeo-Tat 	Individual 	Living
jeb 			Jebero 	Individual 	Living
jee 			Jerung 	Individual 	Living
jeh 			Jeh 	Individual 	Living
jei 			Yei 	Individual 	Living
jek 			Jeri Kuo 	Individual 	Living
jel 			Yelmek 	Individual 	Living
jen 			Dza 	Individual 	Living
jer 			Jere 	Individual 	Living
jet 			Manem 	Individual 	Living
jeu 			Jonkor Bourmataguil 	Individual 	Living
jgb 			Ngbee 	Individual 	Extinct
